회사명	18_fscore	17_fscore
이루온	5	5
테크윙	5	5
와이디온라인	5	5
에스씨디	5	5
마니커	5	5
DMS	5	5
SK텔레콤	5	5
우진아이엔에스	5	5
GS글로벌	5	5
티에스이	5	5
휘닉스소재	5	5
에코캡	5	5
휴비스	5	5
판타지오	5	5
유니켐	5	5
프럼파스트	5	5
SM C&C	5	5
SDN	5	5
오르비텍	5	5
하이골드3호	5	5
바다로19호	5	5
유니테크노	5	5
일동제약	5	5
금양	5	5
농심홀딩스	5	5
한세엠케이	5	5
휴네시온	5	5
이매진아시아	5	5
유성티엔에스	5	5
아바코	5	5
한일진공	5	5
에스맥	5	5
한국유니온제약	5	5
토비스	5	5
씨유메디칼	5	5
디에이테크놀로지	5	5
에코바이오	5	5
녹십자홀딩스	5	5
동양피엔에프	5	5
에스티팜	5	5
에스원	5	5
CS홀딩스	5	5
디케이티	5	5
티로보틱스	5	5
엔피씨	5	5
농우바이오	5	5
현대모비스	5	5
이건홀딩스	5	5
두산밥캣	5	5
ISC	5	5
조아제약	5	5
고영	5	5
위즈코프	5	5
GRT	5	5
윈스	5	5
아이마켓코리아	5	5
삼영무역	5	5
쿠쿠홈시스	5	5
그랜드백화점	5	5
우주일렉트로	5	5
영보화학	5	5
심텍홀딩스	5	5
대우조선해양	5	5
넥스트BT	5	5
경방	5	5
종근당홀딩스	5	5
두산	5	5
남영비비안	5	5
아시아나IDT	5	5
에스엘	5	5
비상교육	5	5
쎌바이오텍	5	5
쿠쿠홀딩스	5	5
신진에스엠	5	5
에스제이엠	5	5
투비소프트	5	5
코웰패션	5	5
푸드나무	5	5
아모텍	5	5
나노캠텍	5	5
자연과환경	5	5
대원제약	5	5
지역난방공사	5	5
엠코르셋	5	5
인프라웨어	5	5
GST	5	5
하이즈항공	5	5
이엠코리아	5	5
이더블유케이	5	5
젬백스	5	5
디케이앤디	5	5
컴투스	5	5
에스앤씨엔진그룹	5	5
일진홀딩스	5	5
태양	5	5
한국주철관공업	5	5
KR모터스	5	5
시큐브	5	5
성호전자	5	5
현대중공업지주	5	5
대성에너지	5	5
롯데제과	5	5
KG ETS	5	5
한국가스공사	5	5
SK머티리얼즈	5	5
한국공항	5	5
극동유화	5	5
시노펙스	5	5
와이엠씨	5	5
웅진씽크빅	5	5
농심	5	5
서연	5	5
흥국	5	5
경동제약	5	5
리드코프	5	5
동원수산	5	5
한화케미칼	5	5
세이브존I&C	5	5
중앙리빙테크	5	5
메카로	5	5
서연전자	5	5
신성델타테크	5	5
옴니시스템	5	5
코웨이	5	5
경농	5	5
코맥스	5	5
이오테크닉스	5	5
지트리비앤티	5	5
에스아이리소스	5	5
에스엔텍	5	5
아이크래프트	5	5
케이사인	5	5
야스	5	5
신풍제약	5	5
에스제이엠홀딩스	5	5
제이콘텐트리	5	5
동성화인텍	5	5
혜인	5	5
파수닷컴	5	5
디알젬	5	5
와이엔텍	5	5
녹원씨엔아이	5	5
세아베스틸	5	5
KC그린홀딩스	5	5
팬오션	5	5
창해에탄올	5	5
엘앤씨바이오	5	5
제낙스	5	5
경인전자	5	5
삼성중공업	5	5
대창솔루션	5	5
세코닉스	5	5
삼영전자공업	5	5
세중	5	5
이크레더블	5	5
애경유화	5	5
메가스터디	5	5
롯데칠성음료	5	5
아스타	5	5
삼영화학공업	5	5
