code,market_type,date,present_value,quant,buy_total,sell_total,market_sum,per,pbr
009970,0,2018-04-30,53500,3406,334,1011,7295,10.19,0.7
066575,0,2018-04-30,42050,20729,3671,4498,7227,4.41,0.57
005880,0,2018-04-30,28700,197947,7917,13324,7010,5.53,1.06
278540,0,2018-04-30,9870,2151,55006,59938,6998,,
272580,0,2018-04-30,50330,320,28899,26867,6993,,
003540,0,2018-04-30,13750,204044,47187,87948,6981,10.29,0.53
003620,0,2018-04-30,5050,260843,23514,20306,6966,-10.56,0.9
004430,0,2018-04-30,28950,450656,11300,24963,6948,19.63,1.82
025620,0,2018-04-30,25850,1579208,6745,32445,6846,23.63,5.33
003230,0,2018-04-30,90100,65957,3525,974,6787,23.67,3.39
001820,0,2018-04-30,64900,528311,10565,4384,6746,43.47,9.77
007700,0,2018-04-30,43700,37560,3574,1490,6730,8.99,2.27
042700,0,2018-04-30,10500,244729,30721,48187,6676,70.47,2.68
019680,0,2018-04-30,7840,17125,59379,11643,6641,19.55,1.05
037560,0,2018-04-30,8540,358764,14742,2110,6614,22.9,0.67
114800,0,2018-04-30,6000,3601087,755137,429646,6612,,
011690,0,2018-04-30,11800,1013732,97168,72241,6583,143.9,4.89
241590,0,2018-04-30,21700,37626,6537,1876,6568,14.46,2.55
005180,0,2018-04-30,66500,27170,879,7602,6551,22.12,1.11
00680K,0,2018-04-30,4615,445350,114648,24737,6461,6.24,0.35
123890,0,2018-04-30,6200,212498,16728,12883,6370,5.07,1.23
192400,0,2018-04-30,119000,13450,2404,3151,6326,2.51,1.47
002020,0,2018-04-30,51900,22041,2117,4879,6260,7.01,0.89
005500,0,2018-04-30,44750,65008,12020,3267,6220,17.38,2.85
007460,0,2018-04-30,12450,559956,109545,48773,6197,106.41,4.14
029530,0,2018-04-30,60500,8008,2368,1373,6098,19.25,0.7
053210,0,2018-04-30,12500,43931,15428,34323,5978,10.42,1.03
000990,0,2018-04-30,13450,399598,52655,48860,5972,5.43,1.28
271980,0,2018-04-30,40300,65395,9641,1596,5926,325.0,3.33
002240,0,2018-04-30,29300,37173,2090,2843,5860,24.75,0.43
000815,0,2018-04-30,183500,6339,1386,757,5857,9.6,0.65
031440,0,2018-04-30,150500,15612,1729,4261,5828,28.27,1.85
183190,0,2018-04-30,148000,153492,853,2933,5766,8.88,0.71
112610,0,2018-04-30,33300,20299,1659,5105,5756,14.78,1.74
192530,0,2018-04-30,11200,43835,15949,31933,5747,4.28,0.36
278530,0,2018-04-30,9855,575487,330010,416096,5736,,
017810,0,2018-04-30,149500,1641,448,3629,5695,14.79,2.08
232080,0,2018-04-30,15025,663649,32030,80357,5586,,
003030,0,2018-04-30,93100,119254,3036,1003,5586,21.92,0.44
003530,0,2018-04-30,3235,719237,36574,34944,5579,10.64,0.65
060980,0,2018-04-30,51200,27354,2108,3432,5531,12.86,0.59
058650,0,2018-04-30,137500,929,389,493,5500,4.09,0.29
001720,0,2018-04-30,58500,2857,885,1936,5491,15.54,0.5
019170,0,2018-04-30,10350,874738,82867,111780,5484,272.37,2.41
096760,0,2018-04-30,8660,482551,20318,23304,5478,10.11,3.26
249420,0,2018-04-30,24900,149131,18979,7144,5376,27.09,1.89
003850,0,2018-04-30,12100,401037,16734,38332,5348,9.43,2.13
273130,0,2018-04-30,99930,3418,15000,14689,5274,,
025540,0,2018-04-30,50600,18289,6187,1917,5270,10.58,0.78
001520,0,2018-04-30,2200,2239277,30922,196876,5251,32.35,0.53
570019,0,2018-04-30,10460,1201260,119266,2334585,5230,,
079430,0,2018-04-30,24250,146944,16755,6680,4980,11.49,1.18
014830,0,2018-04-30,55800,75080,978,756,4961,12.53,0.76
072710,0,2018-04-30,106500,2518,1135,860,4939,12.15,0.57
126560,0,2018-04-30,4350,32341,4849,17130,4910,11.27,0.72
500019,0,2018-04-30,19615,6085,67752,68021,4904,,
003920,0,2018-04-30,678000,971,81,392,4882,119.72,0.64
033920,0,2018-04-30,16950,11638,17205,5895,4831,9.38,0.89
009290,0,2018-04-30,9200,266142,32914,22937,4823,20.81,0.95
064960,0,2018-04-30,32800,140555,84821,6605,4796,8.44,0.67
210980,0,2018-04-30,29600,20272,3249,5580,4782,8.8,1.85
002990,0,2018-04-30,13200,972961,16637,83071,4732,4.98,1.19
006060,0,2018-04-30,8550,212122,19548,9605,4730,12.97,1.94
138250,0,2018-04-30,14000,58014,32263,4798,4717,8.55,1.11
034120,0,2018-04-30,25800,41512,13387,5173,4709,31.31,0.82
161000,0,2018-04-30,14650,211751,25324,19685,4694,7.21,1.52
079980,0,2018-04-30,13500,368483,7876,154510,4658,20.8,1.11
101530,0,2018-04-30,15800,49858,16942,13950,4600,61.72,1.45
