,code,m_ics,w_ics,year,total_asset,lt_debt,lt_borrowing,current_asset,current_liabilities,shareholder_equity,stock_issued,intangible_asset,operating_income,extra_income,total_sales,gross_profit,cogs,cf_operation
2354,001140,운수창고,항공화물운송과물류,2016,813.1,111.4,29.3,260.5,548.9,152.8,1027.0,46.1,2.0,-35.7,873.3,77.4,795.9,873.3
2355,140910,서비스업,미분류,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2356,140910,서비스업,미분류,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2357,140910,서비스업,미분류,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2358,140910,서비스업,미분류,2015,592.9,30.9,0.0,584.4,311.6,250.5,3629.0,1.7,72.9,12.8,528.1,95.5,432.6,528.1
2359,140910,서비스업,미분류,2016,319.1,41.1,0.0,266.6,16.9,261.1,3629.0,1.7,77.4,-10.1,335.7,98.3,237.4,335.7
2360,159650,서비스업,미분류,2012,704.7,0.0,0.0,46.6,2.8,701.9,14906.0,0.0,-12.0,-10.9,0.0,0.0,0.0,0.0
2361,159650,서비스업,미분류,2013,702.7,0.0,0.0,58.1,4.7,698.0,14906.0,0.0,40.8,-2.5,109.2,109.2,0.0,109.2
2362,159650,서비스업,미분류,2014,705.1,0.0,0.0,77.4,11.6,693.4,14906.0,0.0,39.5,4.8,105.3,105.3,0.0,105.3
2363,159650,서비스업,미분류,2015,705.3,9.8,0.0,100.4,22.4,673.2,14906.0,0.0,43.0,12.4,113.2,113.2,0.0,113.2
2364,159650,서비스업,미분류,2016,544.9,0.0,0.0,125.9,76.0,468.9,14906.0,0.0,23.1,-123.2,94.3,94.3,0.0,94.3
2365,083370,서비스업,미분류,2012,553.0,426.8,426.8,47.0,46.9,79.3,1586.0,0.0,4.8,-0.0,51.5,51.5,0.0,51.5
2366,083370,서비스업,미분류,2013,79.9,0.0,0.0,0.6,0.6,79.3,1586.0,0.0,4.8,-0.0,5.3,5.3,0.0,5.3
2367,083370,서비스업,미분류,2014,81.0,0.0,0.0,1.7,1.7,79.3,1586.0,0.0,4.8,-0.0,5.3,5.3,0.0,5.3
2368,083370,서비스업,미분류,2015,79.9,0.0,0.0,0.6,0.6,79.3,1586.0,0.0,4.8,-0.0,5.2,5.2,0.0,5.2
2369,083370,서비스업,미분류,2016,79.9,0.0,0.0,0.6,0.6,79.3,1586.0,0.0,4.8,-0.0,5.3,5.3,0.0,5.3
2370,083380,서비스업,미분류,2012,553.4,426.8,426.8,47.3,47.3,79.3,1586.0,0.0,4.8,-0.0,50.6,50.6,0.0,50.6
2371,083380,서비스업,미분류,2013,80.6,0.0,0.0,1.3,1.2,79.3,1586.0,0.0,4.8,-0.0,5.3,5.3,0.0,5.3
2372,083380,서비스업,미분류,2014,80.5,0.0,0.0,1.2,1.2,79.3,1586.0,0.0,4.8,-0.0,5.3,5.3,0.0,5.3
2373,083380,서비스업,미분류,2015,80.5,0.0,0.0,1.3,1.2,79.3,1586.0,0.0,4.8,-0.0,5.2,5.2,0.0,5.2
2374,083380,서비스업,미분류,2016,80.6,0.0,0.0,1.3,1.2,79.3,1586.0,0.0,4.8,-0.0,5.3,5.3,0.0,5.3
2375,035760,방송서비스,인터넷과카탈로그소매,2012,23931.6,4913.4,878.6,6349.9,9656.2,9361.9,6204.0,7163.8,2605.7,-112.3,19919.6,11334.4,8585.2,19919.6
2376,035760,방송서비스,인터넷과카탈로그소매,2013,30309.4,9456.7,4508.9,7712.2,9161.0,11691.7,6205.0,10064.2,2582.1,-82.0,25135.0,12557.7,12577.2,25135.0
2377,035760,방송서비스,인터넷과카탈로그소매,2014,31536.8,9799.8,3825.1,8025.4,9072.9,12664.1,6207.0,11072.7,2344.4,-517.5,26049.1,13098.1,12951.0,26049.1
2378,035760,방송서비스,인터넷과카탈로그소매,2015,29882.3,6497.0,1689.9,7585.3,9884.0,13501.3,6216.0,10482.4,2096.5,-260.4,23086.1,12366.4,10719.7,23086.1
2379,035760,방송서비스,인터넷과카탈로그소매,2016,27535.9,3734.3,19.9,6890.3,10172.7,13628.9,6216.0,9339.1,1788.8,-908.5,22086.0,12090.3,9995.7,22086.0
2380,003380,금융,식품,2012,29630.1,3471.7,1606.6,16091.1,16466.8,9691.6,5023.0,856.1,940.1,22.9,33031.4,7100.7,25930.7,33031.4
2381,003380,금융,식품,2013,27709.9,3060.2,1166.6,13280.4,13495.1,11154.6,5023.0,900.1,1329.1,458.0,36855.3,8089.5,28765.9,36855.3
2382,003380,금융,식품,2014,34802.1,3174.5,1757.7,19137.9,19307.9,12319.7,5023.0,804.6,2288.6,-107.6,39191.9,9611.2,29580.7,39191.9
2383,003380,금융,식품,2015,68863.0,22701.8,8260.8,25371.2,27121.0,19040.1,5089.0,3885.6,3511.7,-245.8,51130.8,11446.2,39684.6,51130.8
2384,003380,금융,식품,2016,70680.6,19840.8,5917.6,19509.1,27695.4,23144.4,50337.0,3936.0,4507.4,-83.0,61965.0,13157.7,48807.3,61965.0
2385,030530,금융,반도체와반도체장비,2012,4778.9,557.0,365.0,2172.9,868.4,3353.5,73138.0,271.7,264.6,-3.1,3487.4,1098.4,2388.9,3487.4
2386,030530,금융,반도체와반도체장비,2013,5901.4,551.8,328.1,2756.7,1312.2,4037.5,80501.0,238.5,551.2,-45.5,4230.3,1384.5,2845.7,4230.3
2387,030530,금융,반도체와반도체장비,2014,6589.3,415.4,159.5,2933.7,1617.0,4556.9,80501.0,321.3,918.9,-75.5,5572.1,1967.6,3604.5,5572.1
2388,030530,금융,반도체와반도체장비,2015,6584.9,293.1,13.4,2390.2,887.7,5404.1,80501.0,278.6,461.5,-51.7,2943.8,836.0,2107.8,2943.8
2389,030530,금융,반도체와반도체장비,2016,8626.4,348.2,9.4,1731.2,1057.4,7220.7,77238.0,205.0,404.2,-43.3,2949.1,857.7,2091.4,2949.1
2390,006730,도매,상업서비스와공급품,2012,8439.7,1607.8,0.0,638.4,2504.5,4327.5,26133.0,3.4,31.7,5.7,282.9,157.4,125.5,282.9
2391,006730,도매,상업서비스와공급품,2013,8166.1,2935.4,1500.0,438.0,1104.4,4126.3,28607.0,6.3,95.7,-0.1,508.4,361.2,147.2,508.4
2392,006730,도매,상업서비스와공급품,2014,8582.1,3089.7,1693.7,691.2,1364.2,4128.2,31333.0,5.0,105.3,2.6,545.6,399.9,145.6,545.6
