,code,year,f_roa,f_cfo,f_droa,f_accrual,f_dlever,f_dliquid,f_equityoffer,f_dmargin,f_dturnover,f_total
187,007070,2014,1,1,0,1,0,1,1,0,1,6
188,007070,2015,1,1,1,1,0,1,1,0,1,7
189,007070,2016,1,1,0,1,1,1,1,0,0,6
190,000210,2012,0,0,0,0,0,0,1,0,0,1
191,000210,2013,1,1,0,1,0,1,1,0,0,5
192,000210,2014,0,1,0,1,0,0,1,0,0,3
193,000210,2015,1,1,1,1,0,0,1,1,1,7
194,000210,2016,1,1,1,1,1,0,1,1,1,8
195,047040,2012,0,0,0,0,0,0,1,0,0,1
196,047040,2013,0,1,0,1,0,1,1,0,0,4
197,047040,2014,1,1,1,1,0,1,1,1,1,8
198,047040,2015,1,1,0,1,1,1,1,0,0,6
199,047040,2016,0,1,0,1,1,1,1,0,1,6
200,006260,2012,0,0,0,0,0,0,1,0,0,1
201,006260,2013,1,1,0,1,0,1,1,0,0,5
202,006260,2014,1,1,0,1,0,1,1,1,0,6
203,006260,2015,1,1,0,1,1,1,1,1,0,7
204,006260,2016,1,1,1,1,1,1,1,1,1,9
205,069960,2012,0,0,0,0,0,0,1,0,0,1
206,069960,2013,1,1,0,1,0,1,1,0,0,5
207,069960,2014,1,1,0,1,0,1,1,0,0,5
208,069960,2015,1,1,0,1,0,1,1,1,1,7
209,069960,2016,1,1,0,1,1,1,1,0,1,7
210,006360,2012,0,0,0,0,0,0,1,0,0,1
211,006360,2013,0,1,0,1,0,1,1,0,0,4
212,006360,2014,1,1,1,1,0,1,0,1,0,6
213,006360,2015,1,1,1,1,1,1,1,1,1,9
214,006360,2016,1,1,1,1,0,1,1,0,1,7
215,042670,2012,0,0,0,0,0,0,1,0,0,1
216,042670,2013,1,1,0,1,0,1,1,0,0,5
217,042670,2014,1,1,1,1,0,1,1,1,0,7
218,042670,2015,0,1,0,1,1,1,1,0,0,5
219,042670,2016,1,1,1,1,1,1,1,1,1,9
220,000150,2012,0,0,0,0,0,0,1,0,0,1
221,000150,2013,1,1,0,1,0,1,1,0,0,5
222,000150,2014,1,1,0,1,0,1,0,1,0,5
223,000150,2015,1,1,0,1,1,1,1,0,0,6
224,000150,2016,1,1,1,1,1,1,1,1,0,8
225,003410,2012,0,0,0,0,0,0,1,0,0,1
226,003410,2013,1,1,0,1,0,1,1,0,0,5
227,003410,2014,1,1,1,1,0,1,1,1,1,8
228,003410,2015,1,1,1,1,1,1,1,1,1,9
229,003410,2016,1,1,1,1,1,1,0,1,1,8
230,010620,2012,0,0,0,0,0,0,1,0,0,1
231,010620,2013,0,1,0,1,0,1,1,0,0,4
232,010620,2014,0,1,0,1,0,1,1,0,0,4
233,010620,2015,1,1,1,1,0,1,1,1,1,8
234,010620,2016,1,1,1,1,1,1,1,1,0,8
235,120110,2012,0,0,0,0,0,0,1,0,0,1
236,120110,2013,1,1,0,1,0,1,1,0,0,5
237,120110,2014,1,1,0,1,0,1,0,0,0,4
238,120110,2015,1,1,1,1,0,1,0,1,0,6
239,120110,2016,1,1,0,1,1,1,0,1,0,6
240,004370,2012,0,0,0,0,0,0,1,0,0,1
241,004370,2013,1,1,0,1,0,1,1,0,0,5
242,004370,2014,1,1,0,1,0,1,1,1,0,6
243,004370,2015,1,1,1,1,0,1,1,1,1,8
244,004370,2016,1,1,0,1,1,1,1,1,0,7
245,000670,2012,0,0,0,0,0,0,1,0,0,1
246,000670,2013,1,1,0,1,0,1,1,0,0,5
247,000670,2014,0,1,0,1,0,1,1,0,0,4
248,000670,2015,0,1,1,1,1,1,1,1,0,7
249,000670,2016,0,1,1,1,1,1,1,0,0,6
250,000240,2012,0,0,0,0,0,0,1,0,0,1
251,000240,2013,1,1,0,1,0,1,1,0,0,5
252,000240,2014,1,1,0,1,0,1,1,0,0,5
253,000240,2015,1,1,0,1,1,1,1,0,0,6
254,000240,2016,1,1,1,1,0,1,1,0,1,7
255,071840,2012,0,0,0,0,0,0,1,0,0,1
256,071840,2013,1,1,0,1,0,1,1,0,0,5
257,071840,2014,1,1,0,1,0,1,1,0,1,6
258,071840,2015,1,1,1,1,0,1,1,1,1,8
259,071840,2016,1,1,1,1,0,1,1,1,0,7
260,034020,2012,0,0,0,0,0,0,1,0,0,1
261,034020,2013,1,1,0,1,0,1,1,0,0,5
262,034020,2014,1,1,0,1,0,1,0,1,0,5
263,034020,2015,0,1,0,1,1,1,1,0,0,5
264,034020,2016,1,1,1,1,1,1,1,1,0,8
265,012450,2012,0,0,0,0,0,0,1,0,0,1
266,012450,2013,1,1,0,1,0,1,1,0,0,5
267,012450,2014,1,1,0,1,0,1,1,0,0,5
268,012450,2015,0,1,0,1,0,1,1,0,0,4
269,012450,2016,1,1,1,1,0,1,1,1,1,8
270,001800,2012,0,0,0,0,0,0,1,0,0,1
271,001800,2013,1,1,0,1,0,1,1,0,0,5
272,001800,2014,1,1,0,1,0,1,0,1,0,5
273,001800,2015,1,1,1,1,0,1,0,0,1,6
274,001800,2016,1,1,1,1,1,1,0,1,0,7
275,011790,2012,0,0,0,0,0,0,1,0,0,1
276,011790,2013,1,1,0,1,0,1,1,0,0,5
277,011790,2014,1,1,1,1,0,1,0,1,1,7
278,011790,2015,1,1,1,1,0,1,0,1,0,6
