,code,year,f_roa,f_cfo,f_droa,f_accrual,f_dlever,f_dliquid,f_equityoffer,f_dmargin,f_dturnover,f_total
1084,016880,2016,0,1,0,1,1,1,0,0,0,4
1089,013870,2016,1,1,1,1,1,1,1,1,0,8
1094,002460,2016,1,1,1,1,0,1,1,1,1,8
1099,067830,2016,1,1,1,1,1,1,1,1,0,8
1104,002310,2016,1,1,1,1,0,1,1,1,1,8
1109,000700,2016,1,1,0,1,1,1,1,0,0,6
1114,092200,2016,1,1,1,1,0,1,1,0,1,7
1119,004890,2016,1,1,1,1,0,1,1,1,1,8
1124,058430,2016,1,1,1,1,1,1,1,1,1,9
1129,004060,2016,1,1,0,1,0,1,1,0,0,5
1134,001460,2016,1,1,0,1,1,1,1,0,1,7
1139,032560,2016,1,1,1,1,0,1,1,1,1,8
1144,011160,2016,1,1,1,1,1,1,0,1,1,8
1149,007860,2016,1,1,0,1,0,1,0,0,0,4
1154,007660,2016,1,1,0,1,0,1,1,0,1,6
1159,013520,2016,1,1,0,1,1,1,1,1,0,7
1164,033530,2016,1,1,1,1,1,1,1,1,0,8
1169,090350,2016,1,1,0,1,1,1,1,1,0,7
1174,017900,2016,0,1,1,1,0,1,1,1,0,6
1179,013570,2016,1,1,0,1,1,1,1,1,0,7
1184,103590,2016,1,1,0,1,1,1,1,0,1,7
1189,002840,2016,1,1,1,1,1,1,1,1,1,9
1194,005390,2016,1,1,0,1,1,1,1,0,0,6
1199,013580,2016,1,1,1,1,1,1,1,1,1,9
1204,019440,2016,1,1,1,1,0,1,1,1,1,8
1209,041650,2016,1,1,0,1,0,1,1,0,0,5
1214,005430,2016,1,1,1,1,1,1,1,1,1,9
1219,002150,2016,1,1,1,1,1,1,1,0,1,8
1224,014280,2016,1,1,1,1,0,1,1,1,1,8
1229,100250,2016,1,1,0,1,1,1,1,0,0,6
1234,100220,2016,1,1,1,1,1,1,1,1,1,9
1239,117580,2016,1,1,1,1,0,1,1,1,0,7
1244,004540,2016,1,1,1,1,1,1,0,1,0,7
1249,002620,2016,1,1,0,1,0,1,1,0,0,5
1254,084870,2016,1,1,1,1,1,1,1,0,0,7
1259,084680,2016,1,1,1,1,1,1,1,1,0,8
1264,069640,2016,1,1,1,1,1,1,0,1,1,8
1269,012200,2016,1,1,1,1,0,1,1,1,1,8
1274,015890,2016,1,1,1,1,0,1,1,1,1,8
1279,010690,2016,1,1,1,1,1,1,1,1,1,9
1284,021820,2016,0,1,0,1,1,1,1,0,0,5
1289,003160,2016,1,1,1,1,0,1,1,1,1,8
1294,035000,2016,1,1,1,1,1,1,1,1,0,8
1299,092220,2016,1,1,0,1,1,1,0,0,1,6
1304,003830,2016,0,1,1,1,1,1,1,1,0,7
1309,003960,2016,1,1,1,1,1,1,1,0,0,7
1314,102280,2016,0,1,0,1,0,1,1,0,0,4
1319,004440,2016,1,1,0,1,1,1,0,1,0,6
1324,004840,2016,1,1,0,1,0,1,0,1,0,5
1329,004980,2016,1,1,1,1,1,1,0,0,1,7
1334,028100,2016,1,1,1,1,1,1,1,1,0,8
1339,075580,2016,1,1,0,1,1,1,0,0,0,5
1344,016590,2016,1,1,1,1,0,1,1,0,1,7
1349,014790,2016,1,1,1,1,0,1,0,1,0,6
1354,145210,2016,0,1,0,1,1,1,1,0,0,5
1359,003650,2016,1,1,0,1,1,1,1,0,0,6
1364,024090,2016,1,1,1,1,0,1,1,1,1,8
1369,002600,2016,1,1,1,1,0,1,1,1,1,8
